Part Type code,3-letter part code,Location code,Part-location,Part name (EN),Location (EN),Condition label (EN),Severity (1 to 5),Repair label (EN),COST BEFORE TAX,Part name (FR),Location (FR),Condition label (FR),Réparation (FR),Condition code, Repair code,Nomenclature,Angle,VehicleType,Order Front - left - rear -right,Order Front - right - rear - left
carbody,HMA,G,HMAG,Rear Door Pillar Trim,Left,Scratched,SEV3,Painting,0,Habillage de montant de porte arrière,Gauche,Rayé,Peinture,scratched,painting,2026,11-12-13-14-15-16-17,,1170,3300
carbody,HMA,G,HMAG,Rear Door Pillar Trim,Left,Accidented,SEV5,Replacement,0,Habillage de montant de porte arrière,Gauche,Accidenté,Remplacement,accidented,replacement,2026,11-12-13-14-15-16-17,,1170,3300
carbody,CTD,G,CTDG,Reflector,Left,Accidented,SEV5,Replacement,0,Catadioptre,Gauche,Accidenté,Remplacement,accidented,replacement,2025,11-12-13-14-15-16-17,,1180,3350
carbody,BOU,G,BOUG,Tank cap,Left,Accidented,SEV5,Replacement,0,Bouchon reservoir,Gauche,Accidenté,Remplacement,accidented,replacement,2025,11-12-13-14-15-16-17,,1190,3480
carbody,BAE,G,BAEG,Underrun protector,Left,Scuffed,SEV1,Polish,0,Barres anti encastrement,Gauche,Éraflé,Polish,scuffed,polish,2025,11-12-13-14-15-16-17,,1200,3510
carbody,BAE,G,BAEG,Underrun protector,Left,Scratched,SEV3,Painting,0,Barres anti encastrement,Gauche,Rayé,Peinture,scratched,painting,2025,11-12-13-14-15-16-17,,1200,3510
carbody,BAE,G,BAEG,Underrun protector,Left,Damaged,SEV4,Sheet Metal Work and Painting,0,Barres anti encastrement,Gauche,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2025,11-12-13-14-15-16-17,,1200,3510
carbody,BAE,G,BAEG,Underrun protector,Left,Slightly damaged,SEV2,Quick repair,0,Barres anti encastrement,Gauche,Peu endommagé,Réparation rapide,slightly damaged,quick_reparation,2025,11-12-13-14-15-16-17,,1200,3510
carbody,BAE,G,BAEG,Underrun protector,Left,Accidented,SEV5,Replacement,0,Barres anti encastrement,Gauche,Accidenté,Remplacement,accidented,replacement,2025,11-12-13-14-15-16-17,,1200,3510
carbody,BAE,G,BAEG,Underrun protector,Left,Paintwork needed,SEV3,Painting,0,Barres anti encastrement,Gauche,A repeindre,Peinture,paintwork_required,painting,2025,11-12-13-14-15-16-17,,1200,3510
carbody,BAE,G,BAEG,Underrun protector,Left,Rust spotted,SEV4,Sheet Metal Work and Painting,0,Barres anti encastrement,Gauche,Rouillé,Tôlerie Peinture,rusty,sheet_metal_work_and_painting,2025,11-12-13-14-15-16-17,,1200,3510
carbody,MPD,ARG,MPDARG,D-Pillar,Rear Left,Scuffed,SEV1,Polish,0,Montant pavillon D,Arrière Gauche,Éraflé,Polish,scuffed,polish,2026,11-12-13-14,,1210,2340
carbody,MPD,ARG,MPDARG,D-Pillar,Rear Left,Scratched,SEV3,Painting,0,Montant pavillon D,Arrière Gauche,Rayé,Peinture,scratched,painting,2026,11-12-13-14,,1210,2340
carbody,MPD,ARG,MPDARG,D-Pillar,Rear Left,Damaged,SEV4,Sheet Metal Work and Painting,0,Montant pavillon D,Arrière Gauche,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2026,11-12-13-14,,1210,2340
carbody,MPD,ARG,MPDARG,D-Pillar,Rear Left,Slightly damaged,SEV2,Quick repair,0,Montant pavillon D,Arrière Gauche,Peu endommagé,Réparation rapide,slightly damaged,quick_reparation,2026,11-12-13-14,,1210,2340
carbody,MPD,ARG,MPDARG,D-Pillar,Rear Left,Accidented,SEV5,Replacement,0,Montant pavillon D,Arrière Gauche,Accidenté,Remplacement,accidented,replacement,2026,11-12-13-14,,1210,2340
carbody,BPT,ARG,BPTARG,Side molding,Rear Left,accidented,SEV5,Replacement,0,BAGUETTE DE PORTE,Arrière Gauche,Accidenté,Remplacement,accidented,replacement,2025,11-12-13-14,,1220,2590
carbody,PRT,ARG,PRTARG,Door,Rear Left,scuffed,SEV1,Polish,0,PORTE,Arrière Gauche,Éraflé,Polish,scuffed,polish,2025,11-12-13-14,,1230,2350
carbody,PRT,ARG,PRTARG,Door,Rear Left,scratched,SEV3,Painting,0,PORTE,Arrière Gauche,Rayé,Peinture,scratched,painting,2025,11-12-13-14,,1230,2350
carbody,PRT,ARG,PRTARG,Door,Rear Left,damaged,SEV4,Sheet Metal Work and Painting,0,PORTE,Arrière Gauche,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2025,11-12-13-14,,1230,2350
carbody,PRT,ARG,PRTARG,Door,Rear Left,slightly damaged,SEV3,Quick repair,0,PORTE,Arrière Gauche,Peu endommagé,Réparation rapide,slightly damaged,quick_reparation,2025,11-12-13-14,,1230,2350
carbody,PRT,ARG,PRTARG,Door,Rear Left,accidented,SEV5,Replacement,0,PORTE,Arrière Gauche,Accidenté,Remplacement,accidented,replacement,2025,11-12-13-14,,1230,2350
carbody,PRT,ARG,PRTARG,Door,Rear Left,Paintwork needed,SEV3,Painting,0,PORTE,Arrière Gauche,A repeindre,Peinture,paintwork_required,painting,2026,11-12-13-14,,1230,2350
carbody,PRT,ARG,PRTARG,Door,Rear Left,Rust spotted,SEV4,Sheet Metal Work and Painting,0,PORTE,Arrière Gauche,Rouillé,Tôlerie Peinture,rusty,sheet_metal_work_and_painting,2026,11-12-13-14,,1230,2350
carbody,PRT,ARG,PRTARG,Door,Rear Left,Rust spotted,SEV4,Sheet Metal Work and Painting,0,PORTE,Arrière Droite,Rouillé,Tôlerie Peinture,rusty,sheet_metal_work_and_painting,2026,11-12-13-14,,1230,2350
glass,PRB,ARG,PRBARG,Windshield,Rear Left,Damaged,SEV3,Repair,0,Pare-brise,Arrière Gauche,Endommagé,Réparation,glass_impactSEV3,repair_glass_impactSEV3,2025,9-10-11-12-13-14,,1231,2352
glass,PRB,ARG,PRBARG,Windshield,Rear Left,Damaged,SEV5,Replacement,0,Pare-brise,Arrière Gauche,Endommagé,Remplacement,glass_impactSEV5,repair_glass_impactSEV5,2025,9-10-11-12-13-14,,1231,2352
glass,PRB,ARG,PRBARG,Windshield,Rear Left,Damaged,SEV5,Replacement,0,Pare-brise,Arrière Gauche,Accidenté,Remplacement,accidented,replacement,2025,9-10-11-12-13-14,,1231,2352
glass,PRB,ARG,PRBARG,Windshield,Rear Left,Cracked,SEV5,Replacement,0,Pare-brise,Arrière Gauche,Fissuré,Remplacement,glass_cracked,glass_replacement,2025,9-10-11-12-13-14,,1231,2352
glass,CST,ARG,CSTARG,Custodes,Rear Left,Damaged,SEV3,Repair,0,Custodes,Arrière Gauche,Endommagé,Réparation,glass_impactSEV3,repair_glass_impactSEV3,2025,11-12-13-14,,1232,2353
