Part Type code,3-letter part code,Location code,Part-location,Part name (EN),Location (EN),Condition label (EN),Severity (1 to 5),Repair label (EN),COST BEFORE TAX,Part name (FR),Location (FR),Condition label (FR),Réparation (FR),Condition code, Repair code,Nomenclature,Angle,VehicleType,Order Front - left - rear -right,Order Front - right - rear - left
carbody,TPR,AV,TPRAV,Charging door hatch,Front,Scuffed,SEV1,Polish,0,Trappe porte recharge,Avant,Éraflé,Polish,scuffed,polish,2026,0-1-2-3-16-17,,10,80
carbody,TPR,AV,TPRAV,Charging door hatch,Front,Scratched,SEV3,Painting,0,Trappe porte recharge,Avant,Rayé,Peinture,scratched,painting,2026,0-1-2-3-16-17,,10,80
carbody,TPR,AV,TPRAV,Charging door hatch,Front,Damaged,SEV4,Sheet Metal Work and Painting,0,Trappe porte recharge,Avant,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2026,0-1-2-3-16-17,,10,80
carbody,TPR,AV,TPRAV,Charging door hatch,Front,Slightly damaged,SEV2,Quick repair,0,Trappe porte recharge,Avant,Peu endommagé,Réparation rapide,slightly damaged,quick_reparation,2026,0-1-2-3-16-17,,10,80
carbody,TPR,AV,TPRAV,Charging door hatch,Front,Accidented,SEV5,Replacement,0,Trappe porte recharge,Avant,Accidenté,Remplacement,accidented,replacement,2026,0-1-2-3-16-17,,10,80
carbody,TPR,AV,TPRAV,Charging door hatch,Front,Paintwork needed,SEV3,Painting,0,Trappe porte recharge,Avant,A repeindre,Peinture,paintwork_required,painting,2026,0-1-2-3-16-17,,10,80
carbody,TPR,AV,TPRAV,Charging door hatch,Front,Rust spotted,SEV4,Sheet Metal Work and Painting,0,Trappe porte recharge,Avant,Rouillé,Tôlerie Peinture,rusty,sheet_metal_work_and_painting,2026,0-1-2-3-16-17,,10,80
carbody,CLR,AV,CLRAV,Grille,Front,scuffed,SEV1,Polish,0,CALANDRE,Avant,Éraflé,Polish,scuffed,polish,2025,0-1-2-3-16-17,,20,110
carbody,CLR,AV,CLRAV,Grille,Front,scratched,SEV3,Painting,0,CALANDRE,Avant,Rayé,Peinture,scratched,painting,2025,0-1-2-3-16-17,,20,110
carbody,CLR,AV,CLRAV,Grille,Front,damaged,SEV4,Sheet Metal Work and Painting,0,CALANDRE,Avant,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2025,0-1-2-3-16-17,,20,110
carbody,CLR,AV,CLRAV,Grille,Front,slightly damaged,SEV3,Quick repair,0,CALANDRE,Avant,Peu endommagé,Réparation rapide,slightly damaged,quick_reparation,2025,0-1-2-3-16-17,,20,110
carbody,CLR,AV,CLRAV,Grille,Front,accidented,SEV5,Replacement,0,CALANDRE,Avant,Accidenté,Remplacement,accidented,replacement,2025,0-1-2-3-16-17,,20,110
carbody,CLR,AV,CLRAV,Grille,Front,Paintwork needed,SEV3,Painting,0,CALANDRE,Avant,A repeindre,Peinture,paintwork_required,painting,2026,0-1-2-3-16-17,,20,110
carbody,CLR,AV,CLRAV,Grille,Front,Rust spotted,SEV4,Sheet Metal Work and Painting,0,CALANDRE,Avant,Rouillé,Tôlerie Peinture,rusty,sheet_metal_work_and_painting,2026,0-1-2-3-16-17,,20,110
carbody,OTH,AV,OTHAV,Other (carbody),Front,scuffed,SEV1,Polish,0,AUTRE (CARROSSERIE),Avant,Éraflé,Polish,scuffed,polish,2025,0-1-2-3-16-17,,30,180
carbody,OTH,AV,OTHAV,Other (carbody),Front,scratched,SEV3,Painting,0,AUTRE (CARROSSERIE),Avant,Rayé,Peinture,scratched,painting,2025,0-1-2-3-16-17,,30,180
carbody,OTH,AV,OTHAV,Other (carbody),Front,damaged,SEV4,Sheet Metal Work and Painting,0,AUTRE (CARROSSERIE),Avant,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2025,0-1-2-3-16-17,,30,180
carbody,OTH,AV,OTHAV,Other (carbody),Front,slightly damaged,SEV3,Quick repair,0,AUTRE (CARROSSERIE),Avant,Peu endommagé,Réparation rapide,slightly damaged,quick_reparation,2025,0-1-2-3-16-17,,30,180
cabin,BDA,AR,,Air vents,Rear,Slightly damaged,SEV1,Quick repair,0,Bouches d’aération,Arrière,Peu endommagé,Réparation rapide,interior_slightly_damaged,repair_interior_slightly_damaged,2025,7-8-9-10-11,,,
cabin,BDA,AR,,Air vents,Rear,Damaged,SEV3,Repair,0,Bouches d’aération,Arrière,Endommagé ,Réparation,interior_damaged,repair_interior_damaged,2025,7-8-9-10-11,,,
cabin,BDA,AR,,Air vents,Rear,Soiled,SEV2,Cleaning,0,Bouches d’aération,Arrière,Interior Soiled,Sali,interior_soiled,important_washing,2025,7-8-9-10-11,,,
cabin,BDA,AR,,Air vents,Rear,Missing,SEV5,Replacement,0,Bouches d’aération,Arrière,Pièce manquante,Remplacement,interior_missing,replacement,2025,7-8-9-10-11,,,
carbody,OTH,AV,OTHAV,Other (carbody),Front,accidented,SEV5,Replacement,0,AUTRE (CARROSSERIE),Avant,Accidenté,Remplacement,accidented,replacement,2025,0-1-2-3-16-17,,30,180
carbody,INS,AV,INSAV,Badge,Front,damaged,SEV4,Sheet Metal Work and Painting,0,INSIGNE (SIGLE),Avant,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2025,0-1-2-3-16-17,,40,20
carbody,INS,AV,INSAV,Badge,Front,accidented,SEV5,Replacement,0,INSIGNE (SIGLE),Avant,Accidenté,Remplacement,accidented,replacement,2025,0-1-2-3-16-17,,40,20
carbody,CPR,AV,CPRAV,Bumper Cover,Front,Scuffed,SEV1,Polish,0,Capuchon remorquage,Avant,Éraflé,Polish,scuffed,polish,2026,0-1-2-3-4-5-15-16-17,,60,50
carbody,CPR,AV,CPRAV,Bumper Cover,Front,Scratched,SEV3,Painting,0,Capuchon remorquage,Avant,Rayé,Peinture,scratched,painting,2026,0-1-2-3-4-5-15-16-17,,60,50
carbody,CPR,AV,CPRAV,Bumper Cover,Front,Damaged,SEV4,Sheet Metal Work and Painting,0,Capuchon remorquage,Avant,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2026,0-1-2-3-4-5-15-16-17,,60,50
carbody,CPR,AV,CPRAV,Bumper Cover,Front,Accidented,SEV5,Replacement,0,Capuchon remorquage,Avant,Accidenté,Remplacement,accidented,replacement,2026,0-1-2-3-4-5-15-16-17,,60,50
carbody,CPR,AV,CPRAV,Bumper Cover,Front,Paintwork needed,SEV3,Painting,0,Capuchon remorquage,Avant,A repeindre,Peinture,paintwork_required,painting,2026,0-1-2-3-4-5-15-16-17,,60,50
carbody,CPR,AV,CPRAV,Bumper Cover,Front,Rust spotted,SEV4,Sheet Metal Work and Painting,0,Capuchon remorquage,Avant,Rouillé,Tôlerie Peinture,rusty,sheet_metal_work_and_painting,2026,0-1-2-3-4-5-15-16-17,,60,50
carbody,PRC,AV,PRCAV,Bumper,Front,scuffed,SEV1,Polish,0,PARE-CHOC,Avant,Éraflé,Polish,scuffed,polish,2025,0-1-2-3-4-5-15-16-17,,70,40
carbody,PRC,AV,PRCAV,Bumper,Front,scratched,SEV3,Painting,0,PARE-CHOC,Avant,Rayé,Peinture,scratched,painting,2025,0-1-2-3-4-5-15-16-17,,70,40
carbody,PRC,AV,PRCAV,Bumper,Front,damaged,SEV4,Sheet Metal Work and Painting,0,PARE-CHOC,Avant,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2025,0-1-2-3-4-5-15-16-17,,70,40
carbody,PRC,AV,PRCAV,Bumper,Front,slightly damaged,SEV3,Quick repair,0,PARE-CHOC,Avant,Peu endommagé,Réparation rapide,slightly damaged,quick_reparation,2025,0-1-2-3-4-5-15-16-17,,70,40
carbody,PRC,AV,PRCAV,Bumper,Front,accidented,SEV5,Replacement,0,PARE-CHOC,Avant,Accidenté,Remplacement,accidented,replacement,2025,0-1-2-3-4-5-15-16-17,,70,40
carbody,PRC,AV,PRCAV,Bumper,Front,Paintwork needed,SEV3,Painting,0,PARE-CHOC,Avant,A repeindre,Peinture,paintwork_required,painting,2026,0-1-2-3-4-5-15-16-17,,70,40
carbody,PRC,AV,PRCAV,Bumper,Front,Rust spotted,SEV4,Sheet Metal Work and Painting,0,PARE-CHOC,Avant,Rouillé,Tôlerie Peinture,rusty,sheet_metal_work_and_painting,2026,0-1-2-3-4-5-15-16-17,,70,40
carbody,PNP,AV,PNPAV,Bumper Panel,Front,Scuffed,SEV1,Polish,0,Panneau de pare-chocs,Avant,Éraflé,Polish,scuffed,polish,2026,0-1-2-3-4-5-15-16-17,,80,210
carbody,PNP,AV,PNPAV,Bumper Panel,Front,Scratched,SEV3,Painting,0,Panneau de pare-chocs,Avant,Rayé,Peinture,scratched,painting,2026,0-1-2-3-4-5-15-16-17,,80,210
carbody,PNP,AV,PNPAV,Bumper Panel,Front,Damaged,SEV4,Sheet Metal Work and Painting,0,Panneau de pare-chocs,Avant,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2026,0-1-2-3-4-5-15-16-17,,80,210
carbody,PNP,AV,PNPAV,Bumper Panel,Front,Accidented,SEV5,Replacement,0,Panneau de pare-chocs,Avant,Accidenté,Remplacement,accidented,replacement,2026,0-1-2-3-4-5-15-16-17,,80,210
carbody,PNP,AV,PNPAV,Bumper Panel,Front,Paintwork needed,SEV3,Painting,0,Panneau de pare-chocs,Avant,A repeindre,Peinture,paintwork_required,painting,2026,0-1-2-3-4-5-15-16-17,,80,210
carbody,PNP,AV,PNPAV,Bumper Panel,Front,Rust spotted,SEV4,Sheet Metal Work and Painting,0,Panneau de pare-chocs,Avant,Rouillé,Tôlerie Peinture,rusty,sheet_metal_work_and_painting,2026,0-1-2-3-4-5-15-16-17,,80,210
carbody,JUP,AV,JUPAV,skirt,Front,scuffed,SEV1,Polish,0,JUPE,Avant,Éraflé,Polish,scuffed,polish,2025,0-1-2-3-4-5-15-16-17,,90,330
carbody,JUP,AV,JUPAV,skirt,Front,scratched,SEV3,Painting,0,JUPE,Avant,Rayé,Peinture,scratched,painting,2025,0-1-2-3-4-5-15-16-17,,90,330
carbody,JUP,AV,JUPAV,skirt,Front,damaged,SEV4,Sheet Metal Work and Painting,0,JUPE,Avant,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2025,0-1-2-3-4-5-15-16-17,,90,330
carbody,JUP,AV,JUPAV,skirt,Front,slightly damaged,SEV3,Quick repair,0,JUPE,Avant,Peu endommagé,Réparation rapide,slightly damaged,quick_reparation,2025,0-1-2-3-4-5-15-16-17,,90,330
cabin,CNS,AR,,Center console,Rear,Slightly damaged,SEV1,Quick repair,0,Console centrale,Arrière,Peu endommagé,Réparation rapide,interior_slightly_damaged,repair_interior_slightly_damaged,2025,,,,
cabin,CNS,AR,,Center console,Rear,Damaged,SEV3,Repair,0,Console centrale,Arrière,Endommagé ,Réparation,interior_damaged,repair_interior_damaged,2025,,,,
cabin,CNS,AR,,Center console,Rear,Soiled,SEV2,Cleaning,0,Console centrale,Arrière,Interior Soiled,Sali,interior_soiled,important_washing,2025,,,,
cabin,CNS,AR,,Center console,Rear,Missing,SEV5,Replacement,0,Console centrale,Arrière,Pièce manquante,Remplacement,interior_missing,replacement,2025,,,,
carbody,JUP,AV,JUPAV,skirt,Front,accidented,SEV5,Replacement,0,JUPE,Avant,Accidenté,Remplacement,accidented,replacement,2025,0-1-2-3-4-5-15-16-17,,90,330
carbody,JUP,AV,JUPAV,skirt,Front,Paintwork needed,SEV3,Painting,0,JUPE,Avant,A repeindre,Peinture,paintwork_required,painting,2026,0-1-2-3-4-5-15-16-17,,90,330
carbody,JUP,AV,JUPAV,skirt,Front,Rust spotted,SEV4,Sheet Metal Work and Painting,0,JUPE,Avant,Rouillé,Tôlerie Peinture,rusty,sheet_metal_work_and_painting,2026,0-1-2-3-4-5-15-16-17,,90,330
carbody,JUS,AV,JUSAV,Upper skirt,Front,Scuffed,SEV1,Polish,0,Jupe supérieure,Avant,Éraflé,Polish,scuffed,polish,2026,0-1-2-3-4-5-15-16-17,,100,290
carbody,JUS,AV,JUSAV,Upper skirt,Front,Scratched,SEV3,Painting,0,Jupe supérieure,Avant,Rayé,Peinture,scratched,painting,2026,0-1-2-3-4-5-15-16-17,,100,290
carbody,JUS,AV,JUSAV,Upper skirt,Front,Damaged,SEV4,Sheet Metal Work and Painting,0,Jupe supérieure,Avant,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2026,0-1-2-3-4-5-15-16-17,,100,290
carbody,JUS,AV,JUSAV,Upper skirt,Front,Slightly damaged,SEV2,Quick repair,0,Jupe supérieure,Avant,Peu endommagé,Réparation rapide,slightly damaged,quick_reparation,2026,0-1-2-3-4-5-15-16-17,,100,290
carbody,JUS,AV,JUSAV,Upper skirt,Front,Accidented,SEV5,Replacement,0,Jupe supérieure,Avant,Accidenté,Remplacement,accidented,replacement,2026,0-1-2-3-4-5-15-16-17,,100,290
carbody,PLI,AV,PLIAV,Licence Plate,Front,damaged,SEV4,Sheet Metal Work and Painting,0,PLAQUE D'IMMATRICULATION,Avant,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2025,0-1-2-3-16-17,,110,170
carbody,PLI,AV,PLIAV,Licence Plate,Front,accidented,SEV5,Replacement,0,PLAQUE D'IMMATRICULATION,Avant,Accidenté,Remplacement,accidented,replacement,2025,0-1-2-3-16-17,,110,170
carbody,CPT,AV,CPTAV,Hood,Front,scuffed,SEV1,Polish,0,CAPOT,Avant,Éraflé,Polish,scuffed,polish,2025,0-1-2-3-16-17,,120,120
carbody,CPT,AV,CPTAV,Hood,Front,scratched,SEV3,Painting,0,CAPOT,Avant,Rayé,Peinture,scratched,painting,2025,0-1-2-3-16-17,,120,120
carbody,CPT,AV,CPTAV,Hood,Front,damaged,SEV4,Sheet Metal Work and Painting,0,CAPOT,Avant,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2025,0-1-2-3-16-17,,120,120
carbody,CPT,AV,CPTAV,Hood,Front,slightly damaged,SEV3,Quick repair,0,CAPOT,Avant,Peu endommagé,Réparation rapide,slightly damaged,quick_reparation,2025,0-1-2-3-16-17,,120,120
carbody,CPT,AV,CPTAV,Hood,Front,accidented,SEV5,Replacement,0,CAPOT,Avant,Accidenté,Remplacement,accidented,replacement,2025,0-1-2-3-16-17,,120,120
carbody,CPT,AV,CPTAV,Hood,Front,Paintwork needed,SEV3,Painting,0,CAPOT,Avant,A repeindre,Peinture,paintwork_required,painting,2026,0-1-2-3-16-17,,120,120
carbody,CPT,AV,CPTAV,Hood,Front,Rust spotted,SEV4,Sheet Metal Work and Painting,0,CAPOT,Avant,Rouillé,Tôlerie Peinture,rusty,sheet_metal_work_and_painting,2026,0-1-2-3-16-17,,120,120
carbody,AEC,AV,AECAV,Hood Vent,Front,Scuffed,SEV1,Polish,0,Aeration capot,Avant,Éraflé,Polish,scuffed,polish,2025,0-1-2-3-16-17,,130,140
carbody,AEC,AV,AECAV,Hood Vent,Front,Scratched,SEV3,Painting,0,Aeration capot,Avant,Rayé,Peinture,scratched,painting,2025,0-1-2-3-16-17,,130,140
carbody,AEC,AV,AECAV,Hood Vent,Front,Damaged,SEV4,Sheet Metal Work and Painting,0,Aeration capot,Avant,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2025,0-1-2-3-16-17,,130,140
carbody,AEC,AV,AECAV,Hood Vent,Front,Slightly damaged,SEV2,Quick repair,0,Aeration capot,Avant,Peu endommagé,Réparation rapide,slightly damaged,quick_reparation,2025,0-1-2-3-16-17,,130,140
carbody,AEC,AV,AECAV,Hood Vent,Front,Accidented,SEV5,Replacement,0,Aeration capot,Avant,Accidenté,Remplacement,accidented,replacement,2025,0-1-2-3-16-17,,130,140
carbody,AEC,AV,AECAV,Hood Vent,Front,Paintwork needed,SEV3,Painting,0,Aeration capot,Avant,A repeindre,Peinture,paintwork_required,painting,2025,0-1-2-3-16-17,,130,140
cabin,GDC,AR,,Console trim,Rear,Slightly damaged,SEV1,Quick repair,0,Garniture de console,Arrière,Peu endommagé,Réparation rapide,interior_slightly_damaged,repair_interior_slightly_damaged,2025,,,,
cabin,GDC,AR,,Console trim,Rear,Damaged,SEV3,Repair,0,Garniture de console,Arrière,Endommagé ,Réparation,interior_damaged,repair_interior_damaged,2025,,,,
cabin,GDC,AR,,Console trim,Rear,Soiled,SEV2,Cleaning,0,Garniture de console,Arrière,Interior Soiled,Sali,interior_soiled,important_washing,2025,,,,
cabin,GDC,AR,,Console trim,Rear,Missing,SEV5,Replacement,0,Garniture de console,Arrière,Pièce manquante,Remplacement,interior_missing,replacement,2025,,,,
cabin,GDH,AR,,Tailgate/trunk trim,Rear,Slightly damaged,SEV1,Quick repair,0,Garniture de hayon/coffre,Arrière,Peu endommagé,Réparation rapide,interior_slightly_damaged,repair_interior_slightly_damaged,2025,7-8-9-10-11,,,
cabin,GDH,AR,,Tailgate/trunk trim,Rear,Damaged,SEV3,Repair,0,Garniture de hayon/coffre,Arrière,Endommagé ,Réparation,interior_damaged,repair_interior_damaged,2025,7-8-9-10-11,,,
cabin,GDH,AR,,Tailgate/trunk trim,Rear,Soiled,SEV2,Cleaning,0,Garniture de hayon/coffre,Arrière,Interior Soiled,Sali,interior_soiled,important_washing,2025,7-8-9-10-11,,,
cabin,GDH,AR,,Tailgate/trunk trim,Rear,Missing,SEV5,Replacement,0,Garniture de hayon/coffre,Arrière,Pièce manquante,Remplacement,interior_missing,replacement,2025,7-8-9-10-11,,,
cabin,GZC,AR,,Loading area trim,Rear,Accidented,SEV5,Replacement,0,Garniture zone de chargement,Arrière,Accidenté,Remplacement,accidented,replacement,2026,7-8-9-10-11,,,
cabin,GZC,AR,,Loading area trim,Rear,Damaged,SEV3,Repair,0,Garniture zone de chargement,Arrière,Endommagé ,Réparation,interior_damaged,repair_interior_damaged,2026,7-8-9-10-11,,,
carbody,AEC,AV,AECAV,Hood Vent,Front,Rust spotted,SEV4,Sheet Metal Work and Painting,0,Aeration capot,Avant,Rouillé,Tôlerie Peinture,rusty,sheet_metal_work_and_painting,2025,0-1-2-3-16-17,,130,140
carbody,ARQ,AV,ARQAV,Towing ring,Front,Accidented,SEV5,Replacement,0,Anneau de remorquage,Avant,Accidenté,Remplacement,accidented,replacement,2025,0-1-2-3-16-17,,131,141
carbody,JAD,AV,JADAV,Aluminum rim (2),Front,Scuffed,SEV1,Polish,0,JANTE ALLUMINIUM (2),Avant,Éraflé,Polish,scuffed,polish,2025,0-1-2-3-16-17,,140,10
carbody,JAD,AV,JADAV,Aluminum rim (2),Front,Scratched,SEV3,Painting,0,JANTE ALLUMINIUM (2),Avant,Rayé,Peinture,scratched,painting,2025,0-1-2-3-16-17,,140,10
carbody,JAD,AV,JADAV,Aluminum rim (2),Front,Accidented,SEV5,Replacement,0,JANTE ALLUMINIUM (2),Avant,Accidenté,Remplacement,accidented,replacement,2025,0-1-2-3-16-17,,140,10
carbody,JNA,AV,JNAAV,Aluminum rim,Front,Scuffed,SEV1,Polish,0,JANTE ALLUMINIUM,Avant,Éraflé,Polish,scuffed,polish,2025,0-1-2-3-16-17,,141,11
carbody,JNA,AV,JNAAV,Aluminum rim,Front,Scratched,SEV3,Painting,0,JANTE ALLUMINIUM,Avant,Rayé,Peinture,scratched,painting,2025,0-1-2-3-16-17,,141,11
carbody,JNA,AV,JNAAV,Aluminum rim,Front,Accidented,SEV5,Replacement,0,JANTE ALLUMINIUM,Avant,Accidenté,Remplacement,accidented,replacement,2025,0-1-2-3-16-17,,141,11
carbody,JNT,AV,JNTAV,Steel rim,Front,Scuffed,SEV1,Polish,0,JANTE TOLE,Avant,Éraflé,Polish,scuffed,polish,2025,0-1-2-3-16-17,,142,12
carbody,JNT,AV,JNTAV,Steel rim,Front,Scratched,SEV3,Painting,0,JANTE TOLE,Avant,Rayé,Peinture,scratched,painting,2025,0-1-2-3-16-17,,142,12
carbody,JNT,AV,JNTAV,Steel rim,Front,Damaged,SEV4,Sheet Metal Work and Painting,0,JANTE TOLE,Avant,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2025,0-1-2-3-16-17,,142,12
carbody,JNT,AV,JNTAV,Steel rim,Front,Slightly damaged,SEV3,Quick repair,0,JANTE TOLE,Avant,Peu endommagé,Réparation rapide,slightly damaged,quick_reparation,2025,0-1-2-3-16-17,,142,12
Accessory,HRL,AR,,Canvas wheel cover,Rear,Missing,SEV5,Replacement,0,Housse de roue en toile,Arrière,Pièce manquante,Remplacement,interior_missing,replacement,2026,7-8-9-10-11,,,
Accessory,HRL,AR,,Canvas wheel cover,Rear,Damaged,SEV3,Repair,0,Housse de roue en toile,Arrière,Endommagé ,Réparation,interior_damaged,repair_interior_damaged,2026,7-8-9-10-11,,,
Accessory,HRL,AR,,Canvas wheel cover,Rear,Slightly damaged,SEV1,Cleaning,0,Housse de roue en toile,Arrière,Peu endommagé,Nettoyage,interior_slightly_damaged,repair_interior_slightly_damaged,2026,7-8-9-10-11,,,
Accessory,HRL,AR,,Canvas wheel cover,Rear,Soiled,SEV2,Cleaning,0,Housse de roue en toile,Arrière,Interior Soiled,Sali,interior_soiled,important_washing,2026,7-8-9-10-11,,,
Accessory,HRM,AR,,Metal wheel cover,Rear,scuffed,SEV1,Polish,0,Couvre-roue en metal,Arrière,Éraflé,Polish,scuffed,polish,2026,7-8-9-10-11,,,
Accessory,HRM,AR,,Metal wheel cover,Rear,scratched,SEV3,Painting,0,Couvre-roue en metal,Arrière,Rayé,Peinture,scratched,painting,2026,7-8-9-10-11,,,
Accessory,HRM,AR,,Metal wheel cover,Rear,damaged,SEV4,Sheet Metal Work and Painting,0,Couvre-roue en metal,Arrière,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2026,7-8-9-10-11,,,
Accessory,HRM,AR,,Metal wheel cover,Rear,slightly damaged,SEV3,Quick repair,0,Couvre-roue en metal,Arrière,Peu endommagé,Réparation rapide,slightly damaged,quick_reparation,2026,7-8-9-10-11,,,
Accessory,HRM,AR,,Metal wheel cover,Rear,accidented,SEV5,Replacement,0,Couvre-roue en metal,Arrière,Accidenté,Remplacement,accidented,replacement,2026,7-8-9-10-11,,,
Accessory,HRM,AR,,Metal wheel cover,Rear,scuffed,SEV1,Polish,0,Couvre-roue en metal,Arrière,Éraflé,Polish,scuffed,polish,2026,7-8-9-10-11,,,
Accessory,HRM,AR,,Metal wheel cover,Rear,scratched,SEV3,Painting,0,Couvre-roue en metal,Arrière,Rayé,Peinture,scratched,painting,2026,7-8-9-10-11,,,
Accessory,HRM,AR,,Metal wheel cover,Rear,damaged,SEV4,Sheet Metal Work and Painting,0,Couvre-roue en metal,Arrière,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2026,7-8-9-10-11,,,
Accessory,HRM,AR,,Metal wheel cover,Rear,slightly damaged,SEV3,Quick repair,0,Couvre-roue en metal,Arrière,Peu endommagé,Réparation rapide,slightly damaged,quick_reparation,2026,7-8-9-10-11,,,
Accessory,HRM,AR,,Metal wheel cover,Rear,accidented,SEV5,Replacement,0,Couvre-roue en metal,Arrière,Accidenté,Remplacement,accidented,replacement,2026,7-8-9-10-11,,,
carbody,JNT,AV,JNTAV,Steel rim,Front,Accidented,SEV5,Replacement,0,JANTE TOLE,Avant,Accidenté,Remplacement,accidented,replacement,2025,0-1-2-3-16-17,,142,12
carbody,PBU,AV,PBUAV,Bull bar,Front,scratched,SEV3,Painting,0,Pare-buffle,Avant,Rayé,Peinture,scratched,painting,2026,0-1-2-3-16-17,,150,30
carbody,PBU,AV,PBUAV,Bull bar,Front,slightly damaged,SEV3,Quick repair,0,Pare-buffle,Avant,Peu endommagé,Réparation rapide,slightly damaged,quick_reparation,2026,0-1-2-3-16-17,,150,30
carbody,PBU,AV,PBUAV,Bull bar,Front,damaged,SEV4,Sheet Metal Work and Painting,0,Pare-buffle,Avant,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2026,0-1-2-3-16-17,,150,30
carbody,PBU,AV,PBUAV,Bull bar,Front,to be replaced,SEV5,Replacement,0,Pare-buffle,Avant,À remplacer,Remplacement,to_be_replaced,replacement,2026,0-1-2-3-16-17,,150,30
carbody,PBU,AV,PBUAV,Bull bar,Front,scuffed,SEV1,Polish,0,Pare-buffle,Avant,Éraflé,Polish,scuffed,polish,2026,0-1-2-3-16-17,,150,30
carbody,PBU,AV,PBUAV,Bull bar,Front,scratched,SEV3,Painting,0,Pare-buffle,Avant,Rayé,Peinture,scratched,painting,2026,0-1-2-3-16-17,,150,30
carbody,PBU,AV,PBUAV,Bull bar,Front,slightly damaged,SEV3,Quick repair,0,Pare-buffle,Avant,Peu endommagé,Réparation rapide,slightly damaged,quick_reparation,2026,0-1-2-3-16-17,,150,30
carbody,PBU,AV,PBUAV,Bull bar,Front,damaged,SEV4,Sheet Metal Work and Painting,0,Pare-buffle,Avant,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2026,0-1-2-3-16-17,,150,30
carbody,PBU,AV,PBUAV,Bull bar,Front,to be replaced,SEV5,Replacement,0,Pare-buffle,Avant,À remplacer,Remplacement,to_be_replaced,replacement,2026,0-1-2-3-16-17,,150,30
carbody,CLC,AV,CLCAV,Cab partition wall,Front,scuffed,SEV1,Polish,0,Cloison cabine,Avant,Éraflé,Polish,scuffed,polish,2026,7-8-9-10-11,,160,70
carbody,CLC,AV,CLCAV,Cab partition wall,Front,scratched,SEV3,Painting,0,Cloison cabine,Avant,Rayé,Peinture,scratched,painting,2026,7-8-9-10-11,,160,70
carbody,CLC,AV,CLCAV,Cab partition wall,Front,slightly damaged,SEV3,Quick repair,0,Cloison cabine,Avant,Peu endommagé,Réparation rapide,slightly damaged,quick_reparation,2026,7-8-9-10-11,,160,70
carbody,CLC,AV,CLCAV,Cab partition wall,Front,damaged,SEV4,Sheet Metal Work and Painting,0,Cloison cabine,Avant,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2026,7-8-9-10-11,,160,70
carbody,CLC,AV,CLCAV,Cab partition wall,Front,to be replaced,SEV5,Replacement,0,Cloison cabine,Avant,À remplacer,Remplacement,to_be_replaced,replacement,2026,7-8-9-10-11,,160,70
carbody,CLC,AV,CLCAV,Cab partition wall,Front,scuffed,SEV1,Polish,0,Cloison cabine,Avant,Éraflé,Polish,scuffed,polish,2026,7-8-9-10-11,,160,70
carbody,CLC,AV,CLCAV,Cab partition wall,Front,scratched,SEV3,Painting,0,Cloison cabine,Avant,Rayé,Peinture,scratched,painting,2026,7-8-9-10-11,,160,70
carbody,CLC,AV,CLCAV,Cab partition wall,Front,slightly damaged,SEV3,Quick repair,0,Cloison cabine,Avant,Peu endommagé,Réparation rapide,slightly damaged,quick_reparation,2026,7-8-9-10-11,,160,70
carbody,CLC,AV,CLCAV,Cab partition wall,Front,damaged,SEV4,Sheet Metal Work and Painting,0,Cloison cabine,Avant,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2026,7-8-9-10-11,,160,70
carbody,CLC,AV,CLCAV,Cab partition wall,Front,to be replaced,SEV5,Replacement,0,Cloison cabine,Avant,À remplacer,Remplacement,to_be_replaced,replacement,2026,7-8-9-10-11,,160,70
carbody,VER,AV,VERAV,Cylinder,Front,Accidented,SEV5,Replacement,0,Verin,Avant,Accidenté,Remplacement,accidented,replacement,2025,0-1-2-3-16-17,,170,90
carbody,TRP,AV,TRPAV,Fuel door,Front,Scuffed,SEV1,Polish,0,TRAPPE D'ESSENCE,Avant,Éraflé,Polish,scuffed,polish,2026,0-1-2-3-16-17,,180,100
carbody,TRP,AV,TRPAV,Fuel door,Front,Scratched,SEV3,Painting,0,TRAPPE D'ESSENCE,Avant,Rayé,Peinture,scratched,painting,2026,0-1-2-3-16-17,,180,100
